01, 70055473811, 20230305041736, 20230305041739
02, 76501622388, 20230510030901, 20230510031841
02, 75811301604, 20230526123131, 20230526123204
02, 76041140513, 20230228015614, 20230228020946
01, 73226001430, 20230403050338, 20230403051750
02, 73141885555, 20230104181102, 20230104181128
01, 71780775137, 20230527013409, 20230527013539
01, 71780775137, 20230606160752, 20230606162235
01, 70055473811, 20230322070326, 20230322070805
01, 75063642644, 20230228231215, 20230228232012
01, 77054771658, 20230426222834, 20230426223034
02, 74114866216, 20230226044005, 20230226045143
01, 71822538478, 20230531182539, 20230531182951
01, 75811301604, 20230206083659, 20230206084726
01, 74442607648, 20230725194936, 20230725195341
01, 76418510486, 20230216105946, 20230216111327
01, 74442607648, 20230506195407, 20230506195455
02, 77528527308, 20230406044119, 20230406045331
02, 78328112676, 20230516190009, 20230516190335
02, 75803753411, 20230709140133, 20230709141525
01, 74166107712, 20230412220504, 20230412220757
02, 77222550453, 20230331055325, 20230331060301
01, 78881281034, 20230722220639, 20230722221418
01, 70753002464, 20230327025206, 20230327030414
02, 78328112676, 20230617063901, 20230617064125
01, 70753002464, 20230424180749, 20230424181850
01, 73508334364, 20230108094823, 20230108095819
01, 74114866216, 20230302234635, 20230302235007
02, 73385232301, 20230402005757, 20230402011210
01, 72216372011, 20230330091426, 20230330092440
01, 77343672150, 20230210213250, 20230210214044
02, 70753002464, 20230513070312, 20230513070756
02, 73385232301, 20230119054924, 20230119055732
01, 77565038525, 20230311160053, 20230311161139
02, 74068186835, 20230215165524, 20230215170120
02, 70633604204, 20230415112857, 20230415113818
01, 78378577311, 20230322124850, 20230322125131
02, 75063642644, 20230204220817, 20230204221057
02, 74068186835, 20230426075435, 20230426080143
02, 75700021820, 20230221164921, 20230221170146
02, 70633604204, 20230205031139, 20230205031402
01, 71822538478, 20230512165726, 20230512171219
01, 75780142223, 20230217045745, 20230217050329
01, 77036534123, 20230203102821, 20230203104221
02, 78243647753, 20230702070815, 20230702072059
02, 76202210424, 20230529181243, 20230529181314
01, 74442607648, 20230529172226, 20230529172237
01, 70577283018, 20230127200647, 20230127201129
02, 77036534123, 20230205020013, 20230205020201
01, 70238800474, 20230406201045, 20230406201532
01, 74332781056, 20230525162100, 20230525162736
02, 74658605174, 20230801024301, 20230801024551
01, 78378577311, 20230213185258, 20230213190230
